,Component 1,Component 2
639,0.08873235,-2.6475503
640,4.322423,3.8365793
641,-9.713126,9.551308
642,5.0979285,-0.6236342
643,-9.580268,11.726054
644,9.2477045,0.3442419
645,-7.2744675,-9.456305
646,7.978756,1.8793087
647,4.311581,3.624239
648,-7.9887633,8.183988
649,-5.9823866,7.334546
650,-6.2718277,-4.5907516
651,-5.5402436,-7.557935
652,9.545764,-0.65040123
653,5.3611164,0.12629473
654,-0.60848373,-3.9820848
655,-8.941013,8.835359
656,2.1824768,-0.6462087
657,-4.268491,-4.770578
658,1.7264507,1.1915569
659,9.276838,-0.8279831
660,6.1751895,0.18645813
661,3.2306871,5.013707
662,-7.16949,8.518669
663,-3.715224,-5.663132
664,12.363788,-1.4031283
665,1.9601443,-0.8261659
666,13.360057,-0.7010317
667,-4.7408023,-5.6603203
668,-7.486924,7.960576
669,-5.559599,-5.63657
670,7.384546,0.99302244
671,6.583872,-0.4008348
672,-8.621295,10.573865
673,3.7344997,4.0853176
674,-0.92527217,-1.8361765
675,4.017447,2.1175601
676,8.738679,1.3648701
677,-8.441134,10.19751
678,7.529998,1.3091565
679,3.2408898,3.5963616
680,12.954291,-0.09465145
681,3.6029873,2.5568109
682,-1.4846827,-2.8938105
683,3.7204473,3.0284126
684,-6.171591,-8.675019
685,12.771602,-1.1208509
686,2.502713,4.1216307
687,-9.027587,9.2680235
688,-5.371138,-5.158568
689,-3.6740677,-4.6491184
690,-1.5789237,-2.6069617
691,-9.005073,9.814682
692,-6.342264,5.4106436
693,8.04882,0.9878673
694,1.8412067,-0.96073455
695,1.5154791,-0.5624596
696,-7.8125935,-6.1644835
697,-8.195744,10.774397
698,-2.5925534,-4.421038
699,-6.6732736,-8.1745615
700,0.41873953,-1.7621318
701,-2.9382594,-3.2856822
702,1.6872985,2.825717
703,-4.991189,-1.066066
704,10.831126,-1.7615277
705,5.017381,3.4359434
706,4.459458,5.1498623
707,-1.7696655,-5.254152
708,-0.24736612,-0.7168856
709,7.632924,0.47877085
710,-1.7426684,-4.4106913
711,3.350151,1.1054046
712,-10.028466,15.954795
713,1.6785748,0.15986115
714,-4.0782485,-4.986104
715,7.7059827,1.2838047
716,10.495567,-1.0992384
717,-4.5155153,-3.8993294
718,2.024857,-3.8002768
719,-5.3581467,-7.1283445
720,11.346636,0.23147054
721,3.1741664,0.5007628
722,3.9233794,3.4351633
723,8.32052,1.3114443
724,12.050451,-0.15201622
725,8.102978,0.93348265
726,14.151341,-1.3297666
727,1.326229,-2.7574756
728,4.6695905,4.2356343
729,-6.053274,6.0336657
730,7.389382,0.08298677
731,1.9394629,-1.6976317
732,5.7553706,-0.00950164
733,0.75749296,-2.1091292
734,-4.803138,-7.9995885
735,10.657377,-0.109722584
736,-7.8176694,7.618011
737,1.5935663,-3.0974631
738,-7.5843883,7.5289383
739,0.3343645,-4.388074
740,0.56399316,-4.5617776
741,3.2387123,3.676874
742,1.6083274,3.0404885
743,-6.7475686,-8.684058
744,-10.405822,10.84862
745,3.1638308,3.3225827
746,-5.698211,-7.0150275
747,4.0064573,5.8871546
748,-7.6512275,5.9697657
749,-6.8240633,10.63428
